# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.0736079d0 0.0838993d0 0.0840331d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
12.75  2785.731309569013  2938.97492799634  2585.975957285876
12.85  2631.050928850111  2771.88261786186  2437.2510757228924
12.95  2485.6731430048985  2615.025482444106  2297.7111037101163
13.05  2349.0041693818644  2467.7869449529117  2166.790816044459
13.15  2220.3512615542427  2329.4271132400813  2043.9249875228302
13.25  2099.2196006457743  2199.32941051545  1928.477739791754
13.35  1985.213331555451  2077.0005753468863  1820.0958070992992
13.45  1877.9365991822654  1962.1939770183258  1718.2846173927626
13.55  1776.8945846499566  1854.0464080235374  1622.5495986194405
13.65  1681.6914328575167  1752.4345530044889  1532.608138177788
13.75  1591.9312887039378  1656.741835171016  1448.036317165488
13.85  1507.4162246387157  1566.721623807053  1368.5515229809955
13.95  1427.6514217855904  1482.0039728385016  1293.7298367219933
14.05  1352.5379163693099  1402.218936191263  1223.3592989373226
14.15  1281.6798532888658  1326.9965677912396  1157.1572970254385
14.25  1214.7803412185028  1256.2135522803974  1094.7705652344102
14.35  1151.6414526077162  1189.4876120488352  1036.057797263465
14.45  1092.0652599060022  1126.596779452094  980.7363805110582
14.55  1035.8538355628568  1067.2820922383048  928.5943555260312
14.65  982.6904954974736  1011.346245834615  879.4904160076113
14.75  932.4960686896507  958.5549410607623  833.2126025046401
14.85  885.0627312113594  908.7355364155006  789.548955565959
14.95  840.2123482671454  861.7030588617807  748.287515740409
15.05  797.8063705716564  817.2848668983569  709.4282830279906
15.15  757.6765597069636  775.2959874881795  672.6603835670039
15.25  719.704159142765  735.6131052732163  637.9484907822562
15.35  683.7704123487576  698.1005733596307  605.1512983729749
15.45  649.7466664171144  662.6227448535867  574.1628266135808
15.55  617.5339575725831  629.080967468658  544.8629651484173
15.65  587.0333220399116  597.3519258468119  517.1739955120594
15.75  558.145796043848  567.336967701622  490.9899379789278
15.85  530.7823121866654  538.9374407466623  466.22600876855927
15.95  504.86369944816227  512.0670242313096  442.8115547305675
16.05  480.29099405308654  486.62706586913754  420.65472676945024
16.15  457.01471411381226  462.54357644532666  399.69193704986014
16.25  434.9457922326125  439.7425667450571  379.8525324214108
16.35  414.0149537668111  418.1500475535093  361.0799903637933
16.45  394.1727168287818  397.7043611916668  343.2965924115829
16.55  375.34980677584826  378.31918690890654  326.4670119895863
16.65  357.4967417203845  359.95753009781873  310.5205959474174
16.75  340.5541433972392  342.557733079387  295.42201770988316
16.85  324.48242629631176  326.0581381745949  281.1076894416359
16.95  309.21231577492557  310.42175077603264  267.54934988252114
17.05  294.7240190780304  295.5745816688804  254.6904765122299
17.15  280.95815794047485  281.5042993173349  242.49574275556904
17.25  267.8850432296835  268.1369145065766  230.9298220373456
17.35  255.46508943555543  255.46009570080216  219.9573877823663
17.45  243.64881467046467  243.4245167567983  209.54311341543817
